2023-11-08 13:15:20.579 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-08 13:15:20.579 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-08 13:15:20.658 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-08 13:15:20.662 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-08 13:15:20.662 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 725 ms
2023-11-08 13:15:20.970 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2f522676, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@d430887, org.springframework.security.web.context.SecurityContextPersistenceFilter@22a466e1, org.springframework.security.web.header.HeaderWriterFilter@6ce1b683, org.springframework.security.web.csrf.CsrfFilter@60b1c8bd, org.springframework.security.web.authentication.logout.LogoutFilter@1c29e289, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5c5a6108, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7360b35, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4dd19b34, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@63af89fe, org.springframework.security.web.session.SessionManagementFilter@6738091a, org.springframework.security.web.access.ExceptionTranslationFilter@6eb737d8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@47cd1dcb]
2023-11-08 13:15:21.167 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-08 13:15:21.176 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-08 13:15:21.191 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-08 13:15:21.197 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 1.633 seconds (JVM running for 2.013)
2023-11-08 13:17:08.847 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-08 13:17:08.847 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-08 13:17:08.848 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-08 13:17:08.887 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-08 13:17:08.934 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-08 13:17:09.180 WARN  [http-nio-8085-exec-1] [n.n.u.t.e.ExpressionProcessor] - Fragment expression "layout/layoutUser" is being wrapped as a Thymeleaf 3 fragment expression (~{...}) for backwards compatibility purposes.  This wrapping will be dropped in the next major version of the expression processor, so please rewrite as a Thymeleaf 3 fragment expression to future-proof your code.  See https://github.com/thymeleaf/thymeleaf/issues/451 for more information.
2023-11-08 20:14:00.499 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-08 20:14:00.501 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
